error,omega_UC,omega_DC,omega_I,alpha_b,rho,pi,epsilon,kappa,delta,sigma_h,sigmaHat_h,rho_C,sigma_y,sigma_l,sigma_w,sigmaHat_y,sigmaHat_l,sigmaHat_w,beta_hp,beta_ph,E50,eta_p,eta_h,zeta,xi,admC,admI,admX_S,transC,transI,transX_S
563463.772259506,0.000231481,0.000231481,0.009889525017165456,1.2656411875728356e-05,0.4570884485471027,3.3042512327784688,0.005,0.001,0.0,0.083333333,0.6649896939450397,0.3413943590766132,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.09882896858739182,0.05972197274262792,1.0,0.0018930405309828078,0.0023703118308519965,0.02303725604233231,0.4109754376297542,0.01,0.0,1.0,0.11,0.01,4.0
567824.3219429061,0.000231481,0.000231481,0.0050958715421199185,6.63009210725895e-05,0.8449729371115902,1.1080231175639996,0.005,0.001,0.0,0.083333333,0.3311909068705098,0.5455277414333332,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.02565501367416248,0.09273018845363318,1.0,0.002345671932531456,0.0011203201412474252,0.18048402316774806,0.2910210725245068,0.01,0.0,1.0,0.11,0.01,4.0
590581.2323332432,0.000231481,0.000231481,0.008607527531545128,9.516773214363258e-05,0.3864613740880039,3.0754514715454717,0.005,0.001,0.0,0.083333333,0.2682221452548165,0.1327832631309771,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.05886016876508696,0.015064047529815862,1.0,0.004773431397976421,0.0035263202201973164,0.15322137630229227,0.11097993850107812,0.01,0.0,1.0,0.11,0.01,4.0
607799.5449897363,0.000231481,0.000231481,0.0019550790076091804,8.049673940257967e-05,0.2826693004936389,1.063983653569236,0.005,0.001,0.0,0.083333333,0.7402133306590795,0.7128711900310323,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.03355977451452054,0.017972092382880108,1.0,0.002071385238104636,0.003245668406998607,0.5694260188240755,0.6215487909966794,0.01,0.0,1.0,0.11,0.01,4.0
627566.8175143576,0.000231481,0.000231481,0.00754229739288417,6.006190616501592e-05,0.45016954883083904,1.4663730133537776,0.005,0.001,0.0,0.083333333,0.12248690859665767,0.5801455196573131,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.03788227454863138,0.0999239839277247,1.0,0.0010783107179434149,0.004682102491327909,0.9759525477619492,0.020245263465302088,0.01,0.0,1.0,0.11,0.01,4.0
648433.4197795456,0.000231481,0.000231481,0.00883376363073314,7.528774561320761e-05,0.2936610083051351,1.7861672028340112,0.005,0.001,0.0,0.083333333,0.3995328448350885,0.6779516114288958,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.010790515675791458,0.016731898294952443,1.0,0.006819759293295461,0.00884049277848875,0.3928704317635602,0.0639024521579834,0.01,0.0,1.0,0.11,0.01,4.0
653382.9226444149,0.000231481,0.000231481,0.006555384284802252,8.66426446503148e-05,0.7722837825608232,1.5716658732140865,0.005,0.001,0.0,0.083333333,0.8092361825647478,0.9799051958963558,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.026794395756363443,0.05608313667860381,1.0,0.002553160205555076,0.0029431428987057896,0.49373996158663197,0.915620300465588,0.01,0.0,1.0,0.11,0.01,4.0
685893.4607447067,0.000231481,0.000231481,0.007469295357191126,5.490720524688388e-05,0.6132072931739818,1.3431369047646728,0.005,0.001,0.0,0.083333333,0.31228284904408943,0.2943230240586564,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.005539105535159539,0.036322741936061165,1.0,0.008408371492637644,0.009308742970867943,0.82590174312854,0.2650108674112496,0.01,0.0,1.0,0.11,0.01,4.0
687401.2399080491,0.000231481,0.000231481,0.007858192397824017,8.4854045233353e-05,0.17405198268185773,2.929914532922186,0.005,0.001,0.0,0.083333333,0.7445780961724859,0.6672727813617068,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.05289204642936353,0.025926662241748038,1.0,0.0013886706248823575,0.008736075781084016,0.9371501878887027,0.1992040155646081,0.01,0.0,1.0,0.11,0.01,4.0
692653.0621853485,0.000231481,0.000231481,0.008997534324942439,8.047633773016861e-05,0.6014104510447663,1.8591939203915653,0.005,0.001,0.0,0.083333333,0.1895480837725818,0.19497326373513424,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.07226895951969721,0.012382473622449841,1.0,0.009698432380574036,0.0025384930283198787,0.5647629722167391,0.6003152657785783,0.01,0.0,1.0,0.11,0.01,4.0
711241.1952922889,0.000231481,0.000231481,0.006805649995695178,4.073942674242228e-05,0.8697122563167696,2.809806190509672,0.005,0.001,0.0,0.083333333,0.3765300453147531,0.022464115140435004,0.006944444,0.010416667,0.0,0.041666667,0.8,0.041666667,0.01886043298761484,0.02231166643293203,1.0,0.00026375660259711167,0.009594270603589859,0.6276627987218896,0.6707006830599227,0.01,0.0,1.0,0.11,0.01,4.0
