dateonunit_date,Susceptible,Colonized,Infected,SusceptibleX
7/1/1961,2,1,1,18
7/2/1961,3,2,1,17
7/3/1961,5,2,1,17
7/4/1961,6,3,0,15
7/5/1961,7,3,0,15
7/6/1961,4,4,0,18
7/7/1961,4,3,0,20
7/8/1961,2,5,0,20
7/9/1961,2,3,0,18
7/10/1961,4,4,0,16
7/11/1961,6,3,0,17
7/12/1961,4,2,0,17
7/13/1961,6,2,0,18
7/14/1961,7,2,0,15
7/15/1961,6,3,0,15
7/16/1961,4,3,0,16
7/17/1961,4,4,0,16
7/18/1961,2,4,0,12
7/19/1961,2,4,0,13
7/20/1961,4,5,0,15
7/21/1961,4,3,0,14
7/22/1961,3,3,0,14
7/23/1961,3,4,0,14
7/24/1961,3,5,0,15
7/25/1961,4,2,0,17
7/26/1961,1,1,0,18
7/27/1961,1,2,1,17
7/28/1961,4,3,0,14
7/29/1961,6,4,0,14
7/30/1961,6,3,0,16
7/31/1961,3,3,0,17
8/1/1961,3,4,0,13
8/2/1961,4,3,0,14
8/3/1961,4,4,0,17
8/4/1961,2,3,0,18
8/5/1961,1,3,0,20
8/6/1961,2,5,0,18
8/7/1961,3,7,0,15
8/8/1961,4,7,0,15
8/9/1961,4,7,0,15
8/10/1961,6,8,0,12
8/11/1961,5,8,0,14
8/12/1961,2,7,0,15
8/13/1961,4,6,0,15
8/14/1961,3,5,0,16
8/15/1961,0,5,0,19
8/16/1961,0,5,0,18
8/17/1961,1,4,0,18
8/18/1961,3,2,0,17
8/19/1961,6,2,0,14
8/20/1961,5,3,0,17
8/21/1961,3,5,0,17
8/22/1961,4,4,0,20
8/23/1961,3,4,0,20
8/24/1961,3,4,0,19
8/25/1961,5,3,0,17
8/26/1961,7,3,0,14
8/27/1961,6,3,0,14
8/28/1961,5,2,0,16
8/29/1961,8,3,0,18
8/30/1961,6,4,0,16
8/31/1961,6,4,0,16
9/1/1961,5,5,0,17
9/2/1961,2,5,0,19
9/3/1961,2,4,0,18
9/4/1961,1,4,0,19
9/5/1961,2,5,0,16
9/6/1961,2,5,0,16
9/7/1961,2,5,0,18
9/8/1961,2,4,0,18
9/9/1961,2,4,0,15
9/10/1961,1,6,0,15
9/11/1961,1,5,0,18
9/12/1961,4,5,0,16
9/13/1961,5,5,0,15
9/14/1961,3,7,0,19
9/15/1961,4,8,0,15
9/16/1961,4,8,0,13
9/17/1961,3,8,0,11
9/18/1961,2,9,0,13
9/19/1961,2,7,0,12
9/20/1961,5,7,0,12
9/21/1961,5,7,0,11
9/22/1961,3,7,0,11
9/23/1961,5,8,0,9
9/24/1961,5,7,1,10
9/25/1961,3,7,1,12
9/26/1961,3,8,1,15
9/27/1961,3,6,1,16
9/28/1961,0,7,0,18
9/29/1961,0,7,0,18
9/30/1961,2,9,0,17
10/1/1961,4,6,0,16
10/2/1961,4,5,0,17
10/3/1961,3,5,0,16
10/4/1961,2,6,0,17
10/5/1961,7,5,0,13
10/6/1961,10,5,0,11
10/7/1961,8,4,0,12
10/8/1961,8,4,0,15
10/9/1961,9,5,1,12
10/10/1961,10,4,1,13
10/11/1961,8,7,1,15
10/12/1961,5,7,1,13
10/13/1961,4,9,0,14
10/14/1961,4,9,1,11
10/15/1961,3,8,1,13
10/16/1961,3,7,1,15
10/17/1961,5,7,0,14
10/18/1961,4,7,0,15
10/19/1961,6,6,0,15
10/20/1961,4,5,0,19
10/21/1961,3,6,0,15
10/22/1961,3,6,0,11
10/23/1961,5,7,0,12
10/24/1961,5,8,0,15
10/25/1961,4,7,1,14
10/26/1961,4,7,1,15
10/27/1961,2,8,1,11
10/28/1961,4,8,1,10
10/29/1961,4,9,1,9
10/30/1961,6,9,1,10
10/31/1961,4,9,0,11
11/1/1961,4,8,0,13
11/2/1961,4,6,1,13
11/3/1961,1,5,1,17
11/4/1961,2,5,1,16
11/5/1961,1,6,1,19
11/6/1961,2,5,1,16
11/7/1961,4,4,1,16
11/8/1961,2,4,1,17
11/9/1961,1,4,0,22
11/10/1961,2,5,0,19
11/11/1961,2,5,0,16
11/12/1961,2,5,0,16
11/13/1961,1,5,0,17
11/14/1961,3,7,0,17
11/15/1961,4,7,0,13
11/16/1961,3,7,0,13
11/17/1961,3,7,0,11
11/18/1961,4,6,0,13
11/19/1961,5,6,0,13
11/20/1961,4,5,0,15
11/21/1961,4,6,0,15
11/22/1961,1,7,0,16
11/23/1961,2,7,0,15
11/24/1961,2,8,0,15
11/25/1961,3,9,0,15
11/26/1961,2,6,0,13
11/27/1961,3,6,0,13
11/28/1961,2,7,0,17
11/29/1961,3,6,0,15
11/30/1961,4,6,0,15
12/1/1961,4,6,0,16
12/2/1961,3,5,0,14
12/3/1961,2,4,0,15
12/4/1961,2,4,0,17
12/5/1961,3,6,0,14
12/6/1961,3,5,0,15
12/7/1961,2,4,0,15
12/8/1961,2,6,0,16
12/9/1961,2,6,0,17
12/10/1961,4,7,0,14
12/11/1961,4,5,0,15
12/12/1961,5,5,0,16
12/13/1961,3,4,0,17
12/14/1961,2,4,0,18
12/15/1961,2,5,0,16
12/16/1961,3,5,0,15
12/17/1961,4,5,0,17
12/18/1961,3,4,0,17
12/19/1961,4,4,0,18
12/20/1961,5,6,0,15
12/21/1961,7,5,0,15
12/22/1961,5,4,0,15
12/23/1961,4,4,0,17
12/24/1961,3,5,0,18
12/25/1961,3,5,0,17
12/26/1961,3,5,0,16
12/27/1961,3,5,0,16
12/28/1961,3,4,0,16
12/29/1961,1,4,0,23
12/30/1961,0,5,0,19
12/31/1961,0,5,0,18
1/1/1962,1,5,0,19
1/2/1962,4,5,0,18
1/3/1962,4,5,0,16
1/4/1962,4,6,0,15
1/5/1962,2,6,0,16
1/6/1962,2,8,0,16
1/7/1962,3,8,0,15
1/8/1962,5,7,0,15
1/9/1962,4,6,0,14
1/10/1962,3,6,0,14
1/11/1962,2,6,0,16
1/12/1962,3,5,0,18
1/13/1962,1,4,0,20
1/14/1962,2,4,0,18
1/15/1962,2,4,0,18
1/16/1962,0,4,0,21
1/17/1962,1,4,0,18
1/18/1962,2,5,0,18
1/19/1962,2,6,0,15
1/20/1962,3,7,0,14
1/21/1962,3,7,0,13
1/22/1962,7,8,0,12
1/23/1962,5,7,0,9
1/24/1962,5,7,0,11
1/25/1962,5,7,0,16
1/26/1962,4,5,0,16
1/27/1962,5,4,0,18
1/28/1962,3,3,0,20
1/29/1962,5,4,0,18
1/30/1962,3,6,0,15
1/31/1962,4,7,0,15
2/1/1962,5,8,0,14
2/2/1962,6,6,0,15
2/3/1962,6,6,0,12
2/4/1962,3,6,0,17
2/5/1962,0,7,0,19
2/6/1962,0,9,0,17
2/7/1962,1,8,0,19
2/8/1962,2,7,0,19
2/9/1962,2,8,0,18
2/10/1962,1,8,0,18
2/11/1962,2,7,0,18
2/12/1962,2,7,0,16
2/13/1962,1,5,0,18
2/14/1962,0,5,0,21
2/15/1962,1,4,0,21
2/16/1962,2,3,0,21
2/17/1962,2,3,0,23
2/18/1962,2,3,0,21
2/19/1962,2,4,0,21
2/20/1962,2,5,0,19
2/21/1962,1,6,1,17
2/22/1962,1,7,1,17
2/23/1962,4,6,1,15
2/24/1962,5,6,1,16
2/25/1962,3,6,0,18
2/26/1962,2,6,0,17
2/27/1962,3,6,0,16
2/28/1962,3,4,0,18
3/1/1962,3,4,0,18
3/2/1962,3,4,0,18
3/3/1962,5,3,0,17
3/4/1962,5,3,0,17
3/5/1962,6,3,0,15
3/6/1962,6,3,0,14
3/7/1962,6,4,0,13
3/8/1962,6,7,0,12
3/9/1962,5,7,0,15
3/10/1962,2,6,0,15
3/11/1962,3,7,0,14
3/12/1962,1,8,0,14
3/13/1962,4,8,0,13
3/14/1962,5,8,0,12
3/15/1962,3,8,0,14
3/16/1962,2,7,1,14
3/17/1962,2,8,1,16
3/18/1962,1,7,1,16
3/19/1962,0,6,0,20
3/20/1962,0,9,0,16
3/21/1962,1,9,0,19
3/22/1962,3,9,1,13
3/23/1962,4,8,2,11
3/24/1962,5,9,2,11
3/25/1962,2,7,3,12
3/26/1962,4,6,3,12
3/27/1962,4,6,3,16
3/28/1962,2,5,3,14
3/29/1962,3,5,3,16
3/30/1962,3,4,2,12
3/31/1962,4,5,1,12
4/1/1962,5,4,0,14
4/2/1962,3,4,0,15
4/3/1962,4,4,0,14
4/4/1962,3,5,0,15
4/5/1962,4,6,0,15
4/6/1962,4,6,0,14
4/7/1962,4,4,0,17
4/8/1962,5,4,0,16
4/9/1962,7,6,0,15
4/10/1962,3,5,0,18
4/11/1962,5,4,1,18
4/12/1962,4,4,1,17
4/13/1962,3,3,1,16
4/14/1962,4,3,0,15
4/15/1962,6,3,0,16
4/16/1962,9,3,0,12
4/17/1962,7,4,0,10
4/18/1962,7,4,0,14
4/19/1962,6,4,0,12
4/20/1962,6,5,0,12
4/21/1962,5,3,0,16
4/22/1962,5,4,0,16
4/23/1962,3,4,0,18
4/24/1962,2,6,0,18
4/25/1962,1,5,0,19
4/26/1962,3,5,0,17
4/27/1962,5,5,0,13
4/28/1962,6,5,0,13
4/29/1962,7,5,0,16
4/30/1962,5,4,0,15
5/1/1962,8,5,0,18
5/2/1962,7,6,0,15
5/3/1962,6,5,0,16
5/4/1962,4,5,1,15
5/5/1962,3,6,1,15
5/6/1962,4,7,1,15
5/7/1962,7,7,0,14
5/8/1962,5,6,0,15
5/9/1962,3,6,0,18
5/10/1962,3,6,0,16
5/11/1962,7,6,0,15
5/12/1962,7,5,0,13
5/13/1962,6,5,0,14
5/14/1962,4,6,1,13
5/15/1962,3,5,1,13
5/16/1962,2,6,1,14
5/17/1962,1,5,2,18
5/18/1962,3,5,2,17
5/19/1962,3,6,1,19
5/20/1962,1,6,1,16
5/21/1962,1,6,1,19
5/22/1962,1,6,1,19
5/23/1962,0,6,2,17
5/24/1962,1,7,2,17
5/25/1962,2,8,1,16
5/26/1962,2,8,1,14
5/27/1962,1,7,0,15
5/28/1962,1,6,2,19
5/29/1962,2,6,2,13
5/30/1962,2,6,2,12
5/31/1962,2,7,2,14
6/1/1962,1,7,2,15
6/2/1962,1,5,2,14
6/3/1962,2,6,2,16
6/4/1962,3,7,0,17
6/5/1962,4,6,0,15
6/6/1962,2,7,0,18
6/7/1962,2,7,0,13
6/8/1962,3,9,1,11
6/9/1962,6,6,1,11
6/10/1962,7,5,1,12
6/11/1962,6,6,1,15
6/12/1962,1,6,0,14
6/13/1962,1,7,0,17
6/14/1962,2,7,0,17
6/15/1962,3,8,0,16
6/16/1962,2,6,0,18
6/17/1962,0,7,0,19
6/18/1962,0,7,0,18
6/19/1962,0,8,0,14
6/20/1962,2,10,0,12
6/21/1962,4,7,0,11
6/22/1962,3,8,0,9
6/23/1962,3,8,0,9
6/24/1962,3,6,0,11
6/25/1962,3,4,1,10
6/26/1962,3,4,1,9
6/27/1962,4,4,1,8
6/28/1962,5,5,1,7
6/29/1962,7,4,1,8
6/30/1962,6,4,1,7
7/1/1962,4,3,1,14
7/2/1962,5,3,1,13
7/3/1962,4,4,0,13
7/4/1962,4,5,0,11
7/5/1962,4,6,0,12
7/6/1962,3,4,1,13
7/7/1962,2,4,1,14
7/8/1962,2,4,1,12
7/9/1962,2,3,1,13
7/10/1962,1,4,1,13
7/11/1962,0,4,1,14
7/12/1962,1,4,1,15
7/13/1962,2,3,0,16
7/14/1962,1,2,0,16
7/15/1962,1,2,0,16
7/16/1962,2,3,0,14
7/17/1962,1,3,0,16
7/18/1962,1,3,0,14
7/19/1962,1,4,0,14
7/20/1962,1,4,0,17
7/21/1962,3,4,0,17
7/22/1962,6,3,0,16
7/23/1962,8,3,0,19
7/24/1962,7,1,0,17
7/25/1962,8,2,0,18
7/26/1962,7,2,0,15
7/27/1962,8,1,0,14
7/28/1962,5,1,0,17
7/29/1962,5,1,0,18
7/30/1962,6,2,0,15
7/31/1962,7,2,0,17
8/1/1962,3,2,0,18
8/2/1962,3,2,0,19
8/3/1962,3,4,0,18
8/4/1962,4,2,0,20
8/5/1962,2,4,0,18
8/6/1962,1,2,1,17
8/7/1962,2,2,1,20
8/8/1962,3,2,1,19
8/9/1962,3,1,1,19
8/10/1962,4,3,1,20
