,INTUnit1,INTUnit2,INTUnit3,INTUnit4,INTUnit5,INTUnit6,INTUnit7
7/16/1961,4.0,2.0,,,,,
7/17/1961,4.0,4.0,,,,,
7/18/1961,2.0,1.0,,,,,
7/19/1961,2.0,3.0,,,,,
7/20/1961,7.0,2.0,,,,,
7/21/1961,3.0,0.0,,,,,
7/22/1961,1.0,0.0,,,,,
7/23/1961,3.0,0.0,,,,,
7/24/1961,5.0,3.0,,,,,
7/25/1961,5.0,3.0,,,,,
7/26/1961,3.0,1.0,,,,,
7/27/1961,3.0,1.0,,,,,
7/28/1961,5.0,1.0,,,,,
7/29/1961,7.0,2.0,,,,,
7/30/1961,5.0,1.0,,,,,
7/31/1961,4.0,1.0,,,,,
8/1/1961,2.0,1.0,,,,,
8/2/1961,4.0,1.0,,,,,
8/3/1961,6.0,3.0,,,,,
8/4/1961,1.0,3.0,,,,,
8/5/1961,5.0,0.0,,,,,
8/6/1961,7.0,2.0,,,,,
8/7/1961,4.0,1.0,,,,,
8/8/1961,6.0,3.0,,,,,
8/9/1961,6.0,2.0,,,,,
8/10/1961,5.0,0.0,,,,,
8/11/1961,6.0,0.0,3.0,2.0,0.0,1.0,1.0
8/12/1961,3.0,2.0,0.0,1.0,1.0,1.0,0.0
8/13/1961,3.0,0.0,7.0,7.0,2.0,2.0,1.0
8/14/1961,3.0,0.0,2.0,2.0,2.0,0.0,1.0
8/15/1961,3.0,3.0,13.0,4.0,3.0,3.0,0.0
8/16/1961,3.0,2.0,7.0,3.0,0.0,3.0,1.0
8/17/1961,2.0,2.0,10.0,6.0,4.0,6.0,3.0
8/18/1961,6.0,1.0,1.0,5.0,2.0,0.0,0.0
8/19/1961,4.0,0.0,6.0,3.0,1.0,0.0,1.0
8/20/1961,4.0,0.0,8.0,6.0,1.0,5.0,0.0
8/21/1961,7.0,5.0,8.0,3.0,5.0,2.0,0.0
8/22/1961,5.0,2.0,7.0,7.0,1.0,3.0,1.0
8/23/1961,4.0,1.0,8.0,4.0,2.0,2.0,3.0
8/24/1961,4.0,1.0,11.0,7.0,0.0,6.0,0.0
8/25/1961,4.0,1.0,4.0,1.0,0.0,1.0,2.0
8/26/1961,4.0,0.0,1.0,1.0,1.0,0.0,2.0
8/27/1961,2.0,1.0,9.0,8.0,0.0,4.0,1.0
8/28/1961,2.0,2.0,10.0,8.0,2.0,5.0,0.0
8/29/1961,6.0,4.0,14.0,6.0,4.0,5.0,1.0
8/30/1961,6.0,5.0,8.0,5.0,2.0,4.0,1.0
8/31/1961,5.0,2.0,10.0,5.0,2.0,4.0,1.0
9/1/1961,7.0,0.0,3.0,2.0,0.0,1.0,1.0
9/2/1961,5.0,1.0,7.0,2.0,0.0,1.0,1.0
9/3/1961,1.0,1.0,5.0,5.0,4.0,6.0,1.0
9/4/1961,5.0,4.0,6.0,6.0,3.0,3.0,1.0
9/5/1961,2.0,2.0,8.0,7.0,6.0,2.0,1.0
9/6/1961,2.0,1.0,7.0,4.0,4.0,3.0,0.0
9/7/1961,4.0,0.0,11.0,5.0,1.0,5.0,3.0
9/8/1961,5.0,3.0,3.0,0.0,3.0,0.0,1.0
9/9/1961,3.0,0.0,4.0,1.0,4.0,2.0,2.0
9/10/1961,3.0,1.0,7.0,6.0,2.0,4.0,0.0
9/11/1961,4.0,4.0,7.0,6.0,2.0,1.0,0.0
9/12/1961,5.0,3.0,7.0,4.0,1.0,2.0,2.0
9/13/1961,3.0,0.0,7.0,6.0,1.0,2.0,2.0
9/14/1961,8.0,3.0,10.0,2.0,2.0,3.0,1.0
9/15/1961,5.0,0.0,3.0,1.0,0.0,2.0,1.0
9/16/1961,3.0,1.0,4.0,1.0,0.0,1.0,1.0
9/17/1961,1.0,1.0,8.0,5.0,3.0,5.0,2.0
9/18/1961,5.0,0.0,7.0,5.0,3.0,3.0,2.0
9/19/1961,2.0,2.0,7.0,4.0,1.0,8.0,1.0
9/20/1961,5.0,3.0,7.0,4.0,2.0,4.0,2.0
9/21/1961,6.0,2.0,12.0,7.0,3.0,5.0,1.0
9/22/1961,2.0,0.0,3.0,2.0,1.0,1.0,1.0
9/23/1961,6.0,0.0,2.0,1.0,1.0,0.0,1.0
9/24/1961,2.0,0.0,8.0,4.0,2.0,2.0,1.0
9/25/1961,3.0,6.0,10.0,7.0,5.0,3.0,1.0
9/26/1961,5.0,1.0,8.0,5.0,6.0,7.0,2.0
9/27/1961,4.0,3.0,7.0,3.0,3.0,4.0,2.0
9/28/1961,5.0,3.0,10.0,3.0,4.0,4.0,1.0
9/29/1961,2.0,3.0,2.0,1.0,1.0,0.0,1.0
9/30/1961,5.0,0.0,2.0,0.0,1.0,1.0,0.0
10/1/1961,5.0,3.0,9.0,4.0,2.0,1.0,3.0
10/2/1961,4.0,1.0,4.0,4.0,3.0,4.0,2.0
10/3/1961,4.0,0.0,8.0,3.0,5.0,5.0,0.0
10/4/1961,5.0,2.0,5.0,4.0,2.0,4.0,1.0
10/5/1961,5.0,2.0,8.0,3.0,3.0,4.0,4.0
