,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,SusceptibleX,admission,discharge,transfer_in,transfer_out
123,12/12/1961,INTUnit4,12,10,2,0,10,7,10,0,1
124,12/13/1961,INTUnit4,11,7,2,0,7,6,9,0,1
125,12/14/1961,INTUnit4,6,10,0,0,10,5,5,0,3
126,12/15/1961,INTUnit4,4,9,0,0,9,2,7,1,0
127,12/16/1961,INTUnit4,2,7,0,0,7,3,1,4,0
128,12/17/1961,INTUnit4,2,13,0,0,13,7,2,1,0
129,12/18/1961,INTUnit4,7,14,0,0,14,8,3,0,1
130,12/19/1961,INTUnit4,10,15,0,0,15,7,8,1,0
131,12/20/1961,INTUnit4,8,17,0,0,17,8,7,0,4
132,12/21/1961,INTUnit4,7,14,1,0,14,4,6,1,0
133,12/22/1961,INTUnit4,3,17,1,0,17,5,6,0,5
134,12/23/1961,INTUnit4,1,13,1,0,13,0,3,8,0
135,12/24/1961,INTUnit4,4,16,0,0,16,8,2,0,1
136,12/25/1961,INTUnit4,10,15,0,0,15,7,7,0,2
137,12/26/1961,INTUnit4,10,13,0,0,13,5,8,2,0
138,12/27/1961,INTUnit4,8,14,0,0,14,7,7,2,0
139,12/28/1961,INTUnit4,10,14,0,0,14,9,6,0,7
140,12/29/1961,INTUnit4,7,13,0,0,13,2,7,0,2
141,12/30/1961,INTUnit4,5,8,0,0,8,0,4,9,0
142,12/31/1961,INTUnit4,7,11,0,0,11,9,3,0,2
143,1/1/1962,INTUnit4,8,13,1,0,13,7,5,1,0
144,1/2/1962,INTUnit4,10,14,1,0,14,8,8,0,8
145,1/3/1962,INTUnit4,7,10,0,0,10,0,8,7,0
146,1/4/1962,INTUnit4,4,12,0,0,12,7,2,0,3
147,1/5/1962,INTUnit4,5,13,0,0,13,3,8,0,3
148,1/6/1962,INTUnit4,2,8,0,0,8,0,1,11,0
149,1/7/1962,INTUnit4,4,16,0,0,16,11,6,0,3
150,1/8/1962,INTUnit4,5,17,0,0,17,8,6,0,1
151,1/9/1962,INTUnit4,7,16,0,0,16,7,6,1,0
152,1/10/1962,INTUnit4,9,16,0,0,16,8,10,0,4
153,1/11/1962,INTUnit4,8,11,0,0,11,4,6,0,3
154,1/12/1962,INTUnit4,3,11,0,0,11,2,4,0,0
155,1/13/1962,INTUnit4,2,10,0,0,10,2,4,5,0
156,1/14/1962,INTUnit4,4,11,0,0,11,6,3,0,0
157,1/15/1962,INTUnit4,4,12,2,0,12,6,7,2,0
158,1/16/1962,INTUnit4,1,15,2,1,15,9,3,0,1
159,1/17/1962,INTUnit4,6,16,1,1,16,7,10,0,2
160,1/18/1962,INTUnit4,6,12,1,0,12,5,6,0,1
161,1/19/1962,INTUnit4,4,11,2,0,11,4,5,0,3
162,1/20/1962,INTUnit4,0,10,3,0,10,1,4,4,0
163,1/21/1962,INTUnit4,2,11,1,0,11,5,2,3,0
164,1/22/1962,INTUnit4,4,15,1,0,15,8,4,1,0
165,1/23/1962,INTUnit4,4,20,1,0,20,9,9,0,2
166,1/24/1962,INTUnit4,6,16,1,0,16,7,4,0,3
167,1/25/1962,INTUnit4,7,15,1,0,15,4,7,0,1
168,1/26/1962,INTUnit4,5,13,1,0,13,3,7,0,3
169,1/27/1962,INTUnit4,1,11,0,0,11,0,4,9,0
170,1/28/1962,INTUnit4,2,15,0,0,15,9,3,0,1
171,1/29/1962,INTUnit4,6,16,0,0,16,8,3,0,2
172,1/30/1962,INTUnit4,8,17,0,0,17,6,8,0,0
173,1/31/1962,INTUnit4,9,14,0,0,14,6,8,1,0
174,2/1/1962,INTUnit4,13,9,0,0,9,7,6,0,4
175,2/2/1962,INTUnit4,10,8,0,1,8,3,8,0,2
176,2/3/1962,INTUnit4,3,8,0,1,8,1,4,0,0
177,2/4/1962,INTUnit4,1,7,0,1,7,1,2,1,0
178,2/5/1962,INTUnit4,2,6,0,1,6,2,2,4,0
179,2/6/1962,INTUnit4,3,8,1,1,8,5,4,0,2
180,2/7/1962,INTUnit4,2,9,1,0,9,3,3,2,0
181,2/8/1962,INTUnit4,2,10,2,0,10,5,4,0,4
182,2/9/1962,INTUnit4,1,8,2,0,8,1,1,1,0
183,2/10/1962,INTUnit4,0,10,2,0,10,2,3,0,2
184,2/11/1962,INTUnit4,0,8,1,0,8,0,2,7,0
185,2/12/1962,INTUnit4,4,9,1,0,9,7,3,5,0
186,2/13/1962,INTUnit4,9,13,1,0,13,12,8,0,5
187,2/14/1962,INTUnit4,10,11,1,0,11,7,7,0,1
188,2/15/1962,INTUnit4,9,11,1,0,11,6,7,0,3
189,2/16/1962,INTUnit4,7,9,1,0,9,3,6,0,1
190,2/17/1962,INTUnit4,6,6,1,0,6,2,4,6,0
191,2/18/1962,INTUnit4,6,10,1,0,10,8,3,0,1
192,2/19/1962,INTUnit4,10,10,1,0,10,7,5,0,0
193,2/20/1962,INTUnit4,12,9,2,0,9,7,5,0,1
194,2/21/1962,INTUnit4,9,13,1,1,13,6,7,1,0
195,2/22/1962,INTUnit4,7,16,0,1,16,7,9,0,4
196,2/23/1962,INTUnit4,2,15,0,1,15,3,5,0,2
197,2/24/1962,INTUnit4,0,13,0,1,13,1,2,0,1
198,2/25/1962,INTUnit4,0,10,1,1,10,0,2,4,0
199,2/26/1962,INTUnit4,2,10,1,1,10,4,1,0,0
200,2/27/1962,INTUnit4,5,10,1,1,10,4,4,4,0
201,2/28/1962,INTUnit4,7,12,1,1,12,8,6,0,0
202,3/1/1962,INTUnit4,11,11,1,0,11,8,6,0,4
203,3/2/1962,INTUnit4,8,12,1,0,12,4,8,0,3
204,3/3/1962,INTUnit4,2,11,1,0,11,1,5,7,0
205,3/4/1962,INTUnit4,6,10,1,0,10,8,3,0,3
206,3/5/1962,INTUnit4,6,12,1,0,12,5,7,0,1
207,3/6/1962,INTUnit4,5,10,1,0,10,4,4,2,0
208,3/7/1962,INTUnit4,6,11,1,0,11,6,4,2,0
209,3/8/1962,INTUnit4,10,11,1,0,11,8,6,0,7
210,3/9/1962,INTUnit4,7,9,1,0,9,1,6,0,1
211,3/10/1962,INTUnit4,2,8,1,0,8,0,4,9,0
212,3/11/1962,INTUnit4,2,13,1,0,13,9,0,0,3
213,3/12/1962,INTUnit4,4,17,1,0,17,6,7,0,1
214,3/13/1962,INTUnit4,5,14,1,0,14,5,9,2,0
215,3/14/1962,INTUnit4,9,7,2,0,7,7,5,0,1
216,3/15/1962,INTUnit4,7,10,2,0,10,6,4,0,5
217,3/16/1962,INTUnit4,3,10,2,1,10,1,4,1,0
218,3/17/1962,INTUnit4,2,9,2,1,9,2,5,5,0
219,3/18/1962,INTUnit4,6,7,2,1,7,7,1,0,3
220,3/19/1962,INTUnit4,7,9,2,1,9,4,2,2,0
221,3/20/1962,INTUnit4,7,13,2,1,13,6,5,0,1
222,3/21/1962,INTUnit4,8,12,2,1,12,5,5,0,0
223,3/22/1962,INTUnit4,7,13,2,1,13,5,7,0,3
224,3/23/1962,INTUnit4,3,13,1,1,13,2,7,1,0
225,3/24/1962,INTUnit4,2,10,2,0,10,3,3,0,0
226,3/25/1962,INTUnit4,3,10,1,0,10,3,2,2,0
227,3/26/1962,INTUnit4,4,11,2,0,11,5,2,4,0
228,3/27/1962,INTUnit4,11,11,2,0,11,9,5,0,5
229,3/28/1962,INTUnit4,10,10,3,0,10,4,7,3,0
230,3/29/1962,INTUnit4,9,11,3,0,11,7,8,0,7
231,3/30/1962,INTUnit4,7,6,2,0,6,0,2,1,0
232,3/31/1962,INTUnit4,4,8,2,0,8,1,3,3,0
233,4/1/1962,INTUnit4,4,10,1,0,10,4,3,1,0
