,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,admission,discharge,transfer_in,transfer_out
129,12/18/1961,INTUnit6,0,12,0,0,1,4,3,0
130,12/19/1961,INTUnit6,1,10,1,0,4,2,0,2
131,12/20/1961,INTUnit6,1,10,1,0,2,2,1,0
132,12/21/1961,INTUnit6,2,10,1,0,3,6,0,3
133,12/22/1961,INTUnit6,1,6,0,0,0,2,0,0
134,12/23/1961,INTUnit6,0,5,0,0,0,0,4,0
135,12/24/1961,INTUnit6,1,8,0,0,4,2,0,3
136,12/25/1961,INTUnit6,2,6,0,0,1,4,6,0
137,12/26/1961,INTUnit6,2,8,1,0,7,0,0,4
138,12/27/1961,INTUnit6,1,12,1,0,4,4,0,1
139,12/28/1961,INTUnit6,0,13,0,0,3,1,0,2
140,12/29/1961,INTUnit6,0,13,0,0,1,3,0,0
141,12/30/1961,INTUnit6,0,11,0,0,1,0,0,1
142,12/31/1961,INTUnit6,0,11,0,0,0,4,2,0
143,1/1/1962,INTUnit6,0,9,0,0,2,1,0,0
144,1/2/1962,INTUnit6,0,10,0,0,2,3,0,0
145,1/3/1962,INTUnit6,0,9,0,0,2,1,1,0
146,1/4/1962,INTUnit6,2,9,0,0,3,1,0,3
147,1/5/1962,INTUnit6,2,8,0,0,0,4,0,0
148,1/6/1962,INTUnit6,0,6,0,0,0,1,4,0
149,1/7/1962,INTUnit6,1,8,0,0,4,0,0,2
150,1/8/1962,INTUnit6,1,10,0,0,2,2,1,0
151,1/9/1962,INTUnit6,0,12,0,0,3,1,0,2
152,1/10/1962,INTUnit6,0,12,0,0,1,2,3,0
153,1/11/1962,INTUnit6,0,14,0,0,4,3,0,4
154,1/12/1962,INTUnit6,0,11,0,0,0,2,1,0
155,1/13/1962,INTUnit6,0,10,0,0,1,3,3,0
156,1/14/1962,INTUnit6,0,11,0,0,4,0,0,3
157,1/15/1962,INTUnit6,0,12,0,0,1,2,2,0
158,1/16/1962,INTUnit6,0,13,0,0,3,1,0,2
159,1/17/1962,INTUnit6,0,13,0,0,1,2,1,0
160,1/18/1962,INTUnit6,0,13,0,0,2,2,0,2
161,1/19/1962,INTUnit6,0,11,0,0,0,0,0,0
162,1/20/1962,INTUnit6,0,11,0,0,0,1,0,0
163,1/21/1962,INTUnit6,0,10,0,0,0,3,2,0
164,1/22/1962,INTUnit6,0,9,0,0,2,1,0,0
165,1/23/1962,INTUnit6,0,10,0,0,2,4,0,1
166,1/24/1962,INTUnit6,0,7,0,0,1,2,0,0
167,1/25/1962,INTUnit6,0,6,0,0,1,2,0,0
168,1/26/1962,INTUnit6,0,5,0,0,1,1,0,1
169,1/27/1962,INTUnit6,0,4,0,0,0,1,6,0
170,1/28/1962,INTUnit6,1,8,0,0,5,0,0,1
171,1/29/1962,INTUnit6,1,12,0,0,4,1,0,0
172,1/30/1962,INTUnit6,0,16,0,0,4,3,0,1
173,1/31/1962,INTUnit6,0,16,0,0,3,5,1,0
174,2/1/1962,INTUnit6,0,15,0,0,4,5,0,2
175,2/2/1962,INTUnit6,0,11,1,0,1,2,0,1
176,2/3/1962,INTUnit6,0,9,1,0,0,4,1,0
177,2/4/1962,INTUnit6,0,7,0,0,1,3,3,0
178,2/5/1962,INTUnit6,0,8,0,0,4,0,2,0
179,2/6/1962,INTUnit6,2,11,1,0,6,2,0,2
180,2/7/1962,INTUnit6,2,13,1,0,4,6,1,0
181,2/8/1962,INTUnit6,0,15,0,0,5,3,0,4
182,2/9/1962,INTUnit6,0,13,0,0,1,3,2,0
183,2/10/1962,INTUnit6,0,13,0,0,2,4,0,2
184,2/11/1962,INTUnit6,0,9,0,0,0,1,5,0
185,2/12/1962,INTUnit6,1,12,0,0,5,2,0,1
186,2/13/1962,INTUnit6,0,15,0,0,4,2,0,1
187,2/14/1962,INTUnit6,0,16,0,0,3,5,3,0
188,2/15/1962,INTUnit6,0,17,0,0,6,4,0,5
189,2/16/1962,INTUnit6,0,14,0,0,1,1,0,1
190,2/17/1962,INTUnit6,0,13,0,0,0,3,5,0
191,2/18/1962,INTUnit6,1,14,0,0,5,5,0,2
192,2/19/1962,INTUnit6,1,12,0,0,3,4,3,0
193,2/20/1962,INTUnit6,0,15,0,0,6,2,0,4
194,2/21/1962,INTUnit6,0,15,0,0,3,3,3,0
195,2/22/1962,INTUnit6,0,18,0,0,5,5,0,5
196,2/23/1962,INTUnit6,0,13,0,0,0,2,1,0
197,2/24/1962,INTUnit6,0,12,0,0,1,2,1,0
198,2/25/1962,INTUnit6,0,12,0,0,2,4,1,0
199,2/26/1962,INTUnit6,1,10,0,0,3,1,0,2
200,2/27/1962,INTUnit6,0,11,0,0,2,3,3,0
201,2/28/1962,INTUnit6,1,12,0,0,4,3,1,0
202,3/1/1962,INTUnit6,1,14,0,0,5,4,0,5
203,3/2/1962,INTUnit6,1,10,0,0,0,3,2,0
204,3/3/1962,INTUnit6,1,9,0,0,1,1,4,0
205,3/4/1962,INTUnit6,0,14,0,0,5,2,0,1
206,3/5/1962,INTUnit6,1,15,0,0,4,4,0,2
207,3/6/1962,INTUnit6,1,13,0,0,2,1,0,0
208,3/7/1962,INTUnit6,0,15,0,0,2,2,1,0
209,3/8/1962,INTUnit6,0,16,0,0,3,4,0,3
210,3/9/1962,INTUnit6,0,11,1,0,0,2,1,0
211,3/10/1962,INTUnit6,0,10,1,0,1,2,2,0
212,3/11/1962,INTUnit6,1,10,1,0,3,0,0,1
213,3/12/1962,INTUnit6,2,11,1,0,2,2,1,0
214,3/13/1962,INTUnit6,0,14,1,0,4,4,0,0
215,3/14/1962,INTUnit6,0,14,1,0,4,4,2,0
216,3/15/1962,INTUnit6,0,16,1,0,6,5,0,4
217,3/16/1962,INTUnit6,0,13,1,0,2,3,0,2
218,3/17/1962,INTUnit6,0,10,1,0,0,1,3,0
219,3/18/1962,INTUnit6,1,11,1,0,3,4,0,3
220,3/19/1962,INTUnit6,1,7,1,0,1,2,1,0
221,3/20/1962,INTUnit6,1,8,0,0,1,1,4,0
222,3/21/1962,INTUnit6,2,11,0,0,5,3,1,0
223,3/22/1962,INTUnit6,3,13,0,0,6,4,0,3
224,3/23/1962,INTUnit6,2,13,0,0,3,3,0,2
225,3/24/1962,INTUnit6,1,12,0,0,1,2,4,0
226,3/25/1962,INTUnit6,0,16,0,0,5,5,0,3
227,3/26/1962,INTUnit6,0,13,0,0,2,2,2,0
228,3/27/1962,INTUnit6,0,15,0,0,4,3,1,0
229,3/28/1962,INTUnit6,0,17,0,0,5,5,0,1
230,3/29/1962,INTUnit6,0,16,0,0,4,5,0,2
231,3/30/1962,INTUnit6,0,13,0,0,2,3,0,1
232,3/31/1962,INTUnit6,0,10,1,0,1,2,3,0
233,4/1/1962,INTUnit6,0,12,1,0,5,1,0,0
234,4/2/1962,INTUnit6,1,15,1,0,5,4,0,3
235,4/3/1962,INTUnit6,1,13,1,0,2,4,0,0
236,4/4/1962,INTUnit6,0,12,1,0,2,3,2,0
237,4/5/1962,INTUnit6,0,13,1,0,4,3,0,4
238,4/6/1962,INTUnit6,0,10,1,0,0,0,0,0
239,4/7/1962,INTUnit6,0,10,1,0,0,4,3,0
240,4/8/1962,INTUnit6,0,10,0,0,3,3,0,0
241,4/9/1962,INTUnit6,0,10,0,0,3,2,0,2
242,4/10/1962,INTUnit6,0,9,0,0,1,2,2,0
243,4/11/1962,INTUnit6,0,10,0,0,3,2,2,0
244,4/12/1962,INTUnit6,0,13,0,0,5,2,0,5
245,4/13/1962,INTUnit6,0,11,0,0,0,3,1,0
246,4/14/1962,INTUnit6,0,9,0,0,1,0,3,0
247,4/15/1962,INTUnit6,0,13,0,0,4,4,0,1
248,4/16/1962,INTUnit6,0,12,0,0,3,2,1,0
249,4/17/1962,INTUnit6,1,13,0,0,4,3,0,0
250,4/18/1962,INTUnit6,0,15,0,0,4,4,1,0
251,4/19/1962,INTUnit6,0,16,0,0,5,3,0,4
252,4/20/1962,INTUnit6,0,14,0,0,1,3,0,1
253,4/21/1962,INTUnit6,0,11,0,0,0,2,2,0
254,4/22/1962,INTUnit6,0,11,0,0,2,5,0,1
255,4/23/1962,INTUnit6,0,7,0,0,1,2,5,0
256,4/24/1962,INTUnit6,0,10,1,0,5,2,0,1
257,4/25/1962,INTUnit6,2,10,1,0,4,2,1,0
258,4/26/1962,INTUnit6,2,12,2,0,5,4,0,3
259,4/27/1962,INTUnit6,1,11,2,0,1,2,0,1
260,4/28/1962,INTUnit6,0,11,1,0,0,4,3,0
261,4/29/1962,INTUnit6,1,9,1,0,3,1,2,0
262,4/30/1962,INTUnit6,1,13,1,0,5,2,0,3
263,5/1/1962,INTUnit6,0,14,1,0,2,3,2,0
264,5/2/1962,INTUnit6,0,15,1,0,4,4,0,2
265,5/3/1962,INTUnit6,0,13,1,0,3,2,0,3
266,5/4/1962,INTUnit6,0,11,1,0,0,3,0,0
267,5/5/1962,INTUnit6,0,8,1,0,0,1,3,0
268,5/6/1962,INTUnit6,1,9,1,0,3,3,0,1
269,5/7/1962,INTUnit6,2,8,0,0,2,2,2,0
270,5/8/1962,INTUnit6,3,9,0,0,4,3,0,2
271,5/9/1962,INTUnit6,1,10,0,0,2,3,0,0
272,5/10/1962,INTUnit6,1,9,0,0,2,2,0,1
273,5/11/1962,INTUnit6,1,8,0,0,1,4,0,1
274,5/12/1962,INTUnit6,0,5,0,0,0,2,1,0
275,5/13/1962,INTUnit6,0,4,0,0,1,0,1,0
276,5/14/1962,INTUnit6,0,6,0,0,2,1,1,0
277,5/15/1962,INTUnit6,0,7,1,0,3,2,0,0
278,5/16/1962,INTUnit6,0,8,1,0,3,3,1,0
279,5/17/1962,INTUnit6,0,10,0,0,4,1,0,4
280,5/18/1962,INTUnit6,0,9,0,0,0,2,1,0
281,5/19/1962,INTUnit6,0,8,0,0,0,1,3,0
282,5/20/1962,INTUnit6,1,9,0,0,3,1,0,1
283,5/21/1962,INTUnit6,1,10,0,0,2,3,1,0
284,5/22/1962,INTUnit6,0,11,0,0,3,3,0,2
285,5/23/1962,INTUnit6,0,9,0,0,1,1,4,0
286,5/24/1962,INTUnit6,1,12,0,0,5,1,0,4
287,5/25/1962,INTUnit6,1,12,0,0,1,2,0,0
288,5/26/1962,INTUnit6,0,12,0,0,0,3,3,0
289,5/27/1962,INTUnit6,2,10,0,0,3,1,2,0
290,5/28/1962,INTUnit6,3,13,0,0,5,2,0,3
291,5/29/1962,INTUnit6,2,14,0,0,2,2,1,0
292,5/30/1962,INTUnit6,1,16,0,0,3,3,0,0
293,5/31/1962,INTUnit6,1,16,0,0,3,3,0,2
294,6/1/1962,INTUnit6,1,14,0,0,1,3,1,0
295,6/2/1962,INTUnit6,1,13,0,0,2,1,4,0
296,6/3/1962,INTUnit6,0,18,1,0,6,5,0,4
297,6/4/1962,INTUnit6,0,15,1,0,1,4,2,0
298,6/5/1962,INTUnit6,0,14,1,0,3,2,3,0
299,6/6/1962,INTUnit6,0,17,2,0,5,5,0,1
300,6/7/1962,INTUnit6,1,15,2,0,4,4,0,4
301,6/8/1962,INTUnit6,1,12,1,0,0,3,1,0
302,6/9/1962,INTUnit6,0,11,1,0,2,1,0,2
303,6/10/1962,INTUnit6,0,10,1,0,0,2,0,0
304,6/11/1962,INTUnit6,0,9,0,0,0,1,8,0
305,6/12/1962,INTUnit6,2,13,1,0,7,4,0,2
306,6/13/1962,INTUnit6,1,14,2,0,5,5,0,1
307,6/14/1962,INTUnit6,1,14,1,0,4,4,0,3
308,6/15/1962,INTUnit6,0,12,1,0,1,2,0,1
309,6/16/1962,INTUnit6,0,10,1,0,0,0,5,0
310,6/17/1962,INTUnit6,0,15,1,0,6,6,0,2
311,6/18/1962,INTUnit6,0,14,0,0,3,3,1,0
312,6/19/1962,INTUnit6,1,14,0,0,4,2,0,1
313,6/20/1962,INTUnit6,1,15,0,0,3,4,1,0
314,6/21/1962,INTUnit6,0,16,0,0,4,4,0,3
315,6/22/1962,INTUnit6,0,13,0,0,1,2,0,0
316,6/23/1962,INTUnit6,0,12,0,0,1,3,4,0
317,6/24/1962,INTUnit6,0,14,0,0,5,5,0,2
318,6/25/1962,INTUnit6,0,12,0,0,3,2,1,0
319,6/26/1962,INTUnit6,0,14,0,0,3,4,0,0
320,6/27/1962,INTUnit6,0,13,0,0,3,2,1,0
321,6/28/1962,INTUnit6,0,15,0,0,4,3,0,4
322,6/29/1962,INTUnit6,0,12,0,0,0,1,0,0
323,6/30/1962,INTUnit6,0,11,0,0,0,2,4,0
324,7/1/1962,INTUnit6,1,12,0,0,4,3,0,0
325,7/2/1962,INTUnit6,1,12,1,0,4,3,0,1
326,7/3/1962,INTUnit6,0,13,1,0,3,3,1,0
327,7/4/1962,INTUnit6,0,15,0,0,3,3,2,0
328,7/5/1962,INTUnit6,0,17,0,0,5,3,0,5
329,7/6/1962,INTUnit6,0,14,0,0,0,3,3,0
330,7/7/1962,INTUnit6,1,13,0,0,3,1,0,3
331,7/8/1962,INTUnit6,1,12,0,0,0,1,1,0
332,7/9/1962,INTUnit6,1,12,0,0,2,2,2,0
333,7/10/1962,INTUnit6,0,15,0,0,4,4,2,0
334,7/11/1962,INTUnit6,1,16,0,0,6,4,0,2
335,7/12/1962,INTUnit6,2,15,0,0,4,5,0,4
336,7/13/1962,INTUnit6,1,11,0,0,0,0,1,0
337,7/14/1962,INTUnit6,0,13,0,0,1,3,2,0
338,7/15/1962,INTUnit6,0,13,0,0,3,1,0,1
339,7/16/1962,INTUnit6,1,13,0,0,2,3,1,0
340,7/17/1962,INTUnit6,1,13,0,0,3,4,0,0
341,7/18/1962,INTUnit6,0,12,1,0,3,4,3,0
342,7/19/1962,INTUnit6,3,11,1,0,6,2,0,5
343,7/20/1962,INTUnit6,3,10,1,0,1,3,0,0
344,7/21/1962,INTUnit6,0,11,1,0,1,2,2,0
345,7/22/1962,INTUnit6,0,11,1,1,3,3,0,2
346,7/23/1962,INTUnit6,0,9,1,1,1,3,3,0
347,7/24/1962,INTUnit6,0,10,1,1,4,1,1,0
348,7/25/1962,INTUnit6,0,15,1,0,5,3,2,0
349,7/26/1962,INTUnit6,0,19,1,0,7,7,0,6
350,7/27/1962,INTUnit6,0,14,0,0,0,3,0,0
351,7/28/1962,INTUnit6,0,11,0,0,0,1,2,0
352,7/29/1962,INTUnit6,0,12,0,0,2,1,0,0
353,7/30/1962,INTUnit6,0,13,0,0,2,3,2,0
354,7/31/1962,INTUnit6,0,14,0,0,4,3,0,2
355,8/1/1962,INTUnit6,1,12,0,0,2,2,0,0
356,8/2/1962,INTUnit6,1,12,0,0,2,5,0,0
357,8/3/1962,INTUnit6,0,10,0,0,0,1,0,0
358,8/4/1962,INTUnit6,0,9,0,0,0,1,3,0
359,8/5/1962,INTUnit6,0,11,0,0,3,3,2,0
360,8/6/1962,INTUnit6,1,12,0,0,5,3,0,1
361,8/7/1962,INTUnit6,1,13,0,0,4,3,0,2
362,8/8/1962,INTUnit6,1,12,0,0,2,1,2,0
363,8/9/1962,INTUnit6,2,14,0,0,4,3,0,3
364,8/10/1962,INTUnit6,1,13,0,0,1,2,0,0
